block_height,timestamp,moment_id,price,seller_id
12105764,1613863756,1539050,15.00000000,9062425958358553241
12105764,1613863756,2652666,270.00000000,11981551832538515674
12105764,1613863756,2486576,25.00000000,7099215918367808432
12105764,1613863756,1675474,53.00000000,16586100033750739300
12105764,1613863756,1584736,11.00000000,2819239770843453566
12105765,1613863758,163422,399.00000000,10742379857162470558
12105765,1613863758,1094936,295.00000000,9397514874016120672
12105765,1613863758,2489859,42.00000000,4211286718295368473
12105765,1613863758,1734336,5.00000000,14783990180808011773
12105765,1613863758,2382458,8.00000000,14293077151432022693
12105765,1613863758,1406280,30.00000000,13370953703617021832
12105766,1613863761,5427,1088.00000000,10515459955545609947
12105766,1613863761,542854,589.00000000,10682064617279468384
12105766,1613863761,2189129,32.00000000,17475077454152712755
12105766,1613863761,1754099,36.00000000,14142483017642357138
12105766,1613863761,1522266,10.00000000,9418773111994470536
12105767,1613863763,952076,68.00000000,7384729964424837750
12105767,1613863763,1525518,33.00000000,12175201817768759671
12105767,1613863763,402073,725.00000000,10942288995831903696
12105768,1613863770,2643530,14.00000000,11356411111405901274
12105768,1613863770,1656595,25.00000000,737869913675855012
12105768,1613863770,1341666,35.00000000,8063799796532623038
12105768,1613863770,2517392,119.00000000,11695848921116343283
12105768,1613863770,1286348,128.00000000,6023643538125332660
12105768,1613863770,2487893,25.00000000,17745294660983366794
12105769,1613863772,2126895,97.00000000,3886492304574218794
12105769,1613863772,1566059,16.00000000,6661195362529690703
12105769,1613863772,970425,60.00000000,16081408262815097235
12105770,1613863775,1543355,635.00000000,12633212672566266770
12105770,1613863775,1600440,24.00000000,13935645425301297158
12105770,1613863775,1702024,30.00000000,4777331060679344670
12105770,1613863775,2416974,29.00000000,12053556482818196113
12105770,1613863775,663064,1200.00000000,13286248536304794452
12105771,1613863777,2271833,20.00000000,3418264397357134008
12105772,1613863780,2414616,43.00000000,16032800909382441561
12105772,1613863780,1205527,100.00000000,1902775404677767375
12105772,1613863780,1912018,30.00000000,8742789748510289457
12105772,1613863780,2614779,13.00000000,4342469205465616379
12105773,1613863782,2558498,7.00000000,5766234432414809548
12105773,1613863782,1618781,25.00000000,9266201740636675618
12105773,1613863782,1033412,64.00000000,6783747528241710680
12105773,1613863782,1844794,10.00000000,15444101851447011521
12105773,1613863782,2074836,120.00000000,5999975346168685635
