moment_id,set_id,play_id,serialNumber
1348063,26,508,4023
1507590,26,468,7492
1391324,26,511,6726
1300534,26,411,4869
1517883,26,493,6785
1080878,26,465,3589
1166579,26,485,1164
1470099,26,510,5001
1341943,26,496,4903
1209285,26,501,1870
1218203,26,507,2038
1376230,26,480,5257
1069328,26,462,2414
1213520,26,510,1730
1475404,26,465,5431
1104014,26,475,3725
1502730,26,476,7132
1386665,26,511,5942
1099418,26,462,3379
1319653,26,475,4238
883938,26,394,2039
1520984,26,455,6386
868613,26,394,1589
1355271,26,514,4356
1384970,26,507,5997
923032,26,383,3758
1364786,26,456,6063
1422293,26,462,5195
1474297,26,476,5324
1302101,26,456,4686
1403555,26,491,7457
851532,26,412,383
915070,26,391,2796
1400335,26,491,7237
1347599,26,501,4934
1424543,26,387,5070
1357046,26,514,4631
1521975,26,394,5627
1359443,26,513,5470
1528300,26,473,6327
989543,26,455,879
1410724,26,391,5001
1402101,26,472,7003
1181635,26,488,1470
1280842,26,505,3802
1252680,26,505,3140
923393,26,392,3244
1437843,26,400,6870
1374342,26,488,6619
1463978,26,502,5130
1267075,26,511,3285
1364795,26,456,6072
1474587,26,509,5239
1469921,26,457,5698
1166559,26,485,1144
1191814,26,512,1024
1233134,26,512,2219
1357030,26,512,4865
1253020,26,503,3355
1035701,26,469,1287
1291305,26,396,4640
1341560,26,498,4770
1417617,26,514,5519
1171618,26,486,2453
1481287,26,497,6814
894841,26,389,2317
1442828,26,391,6605
1339888,26,494,4348
1407027,26,511,7429
917484,26,383,3210
1414985,26,400,5262
1287166,26,389,4876
1333397,26,492,4107
1435721,26,505,5998
1409390,26,514,5042
1437531,26,387,5808
1023491,26,464,1077
1169415,26,486,2125
1309945,26,462,4655
1521749,26,498,5526
1377076,26,492,5478
1375604,26,506,5131
1335059,26,492,4394
1391358,26,491,6635
1479621,26,398,5898
869580,26,411,1681
1041957,26,466,1293
1402290,26,492,7192
1474547,26,509,5199
1072601,26,457,3937
854518,26,399,1119
1354899,26,512,4359
935725,26,400,3826
1055172,26,476,1758
1227274,26,506,2859
1068326,26,471,1787
1337465,26,491,4925
849335,26,401,436
1415626,26,464,5153
990218,26,455,1304
1512368,26,473,5270
1481457,26,476,6359
1272720,26,488,3555
1476274,26,465,5551
995330,26,458,916
1029290,26,464,1501
1433693,26,463,6345
1413380,26,391,5532
1403552,26,491,7454
901046,26,411,2272
884853,26,399,2079
1355029,26,510,4614
1081540,26,473,2751
1461160,26,457,5062
1286500,26,383,4835
1481426,26,476,6328
1193851,26,487,2436
1353074,26,514,4034
1380096,26,506,5748
920462,26,391,3188
1322705,26,474,4915
1285909,26,389,4744
1288556,26,396,4141
1090442,26,461,3278
915631,26,405,2857
1539187,26,394,7464
1516899,26,493,6551
1178968,26,498,428
1231591,26,491,2676
994152,26,456,1488
1030924,26,455,3385
1364770,26,456,6047
1034065,26,480,1151
1410326,26,499,5603
1088859,26,474,3445
1308964,26,462,4299
1480132,26,476,6034
1519864,26,459,5141
1523526,26,503,6678
1390195,26,506,6722
1393277,26,506,7054
1375955,26,396,5357
1218070,26,501,2030
1357484,26,513,4944
1383766,26,492,5668
1516841,26,493,6493
1384597,26,491,6249
1266762,26,510,3472
1416089,26,400,5866
1386905,26,456,7432
1513144,26,503,5546
1407644,26,396,7421
1263297,26,486,3757
1247797,26,503,3007
1349531,26,505,4491
1303851,26,457,4436
1199729,26,502,1439
921206,26,383,3682
1481190,26,487,6717
1300861,26,405,4696
1225911,26,494,1496
1364688,26,475,5215
1038196,26,481,1157
1275517,26,509,3852
1070478,26,472,2564
1384538,26,491,6190
1290342,26,391,4552
1328472,26,485,4182
1476912,26,398,5689
1301084,26,456,4544
1270634,26,492,3219
1412692,26,463,5094
1410623,26,499,5650
837381,26,385,1482
1044405,26,464,2116
1308666,26,466,4251
1491476,26,500,5753
1522749,26,389,5901
1465836,26,497,6113
1341079,26,494,4539
1517778,26,455,5680
1341642,26,498,4852
1337169,26,491,4754
1439042,26,387,6194
1053651,26,472,1987
1238033,26,508,2118
1420210,26,512,5487
1388977,26,506,6504
1268151,26,490,3736
1309023,26,462,4358
1173484,26,489,694
903041,26,396,2142
832580,26,384,1681
1410845,26,391,5122
1377250,26,411,5277
1288772,26,395,4232
1427334,26,462,5611
1495483,26,510,6385
1237424,26,514,2259
1391417,26,491,6694
1288541,26,396,4126
1526709,26,455,7111
1288502,26,396,4087
1173139,26,486,2724
1526264,26,501,5666
1484248,26,474,5775
1386333,26,491,6360
1036610,26,480,1446
1349416,26,505,4376
1219773,26,490,1608
1409386,26,514,5038
